creator,segment,video_title,upload_date,duration_min,views,likes,comments,subscriber_proxy,creator_consistency_trait,base_interval_days,upload_interval_days,engagement_rate,views_per_minute,rolling_avg_views_3,rolling_avg_engagement_3,consistency_index,consistency_group
DataNook,education,DataNook Episode 1,2025-12-23,24.7,148403,13923,1035,168637,0.781,3.32,,0.10079311065140192,6008.218623481782,148403.0,0.10079311065140192,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 2,2025-12-24,31.3,157180,12833,1816,168637,0.781,3.32,1.0,0.09319888026466472,5021.725239616613,152791.5,0.09699599545803332,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 3,2025-12-25,29.2,104027,5981,1253,168637,0.781,3.32,1.0,0.06953963874763283,3562.568493150685,136536.66666666666,0.08784387655456649,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 4,2025-12-26,24.2,72958,5294,900,168637,0.781,3.32,1.0,0.08489816058554236,3014.793388429752,111388.33333333333,0.08254555986594664,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 5,2025-12-27,26.3,132855,10478,1086,168637,0.781,3.32,1.0,0.08704226412253961,5051.5209125475285,103280.0,0.08049335448523827,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 6,2026-01-01,28.8,102536,9209,1136,168637,0.781,3.32,5.0,0.10089139424202231,3560.277777777778,102783.0,0.09094393965003476,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 7,2026-01-07,28.9,140271,11755,1279,168637,0.781,3.32,6.0,0.09292013317079083,4853.667820069204,125220.66666666667,0.09361793051178424,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 8,2026-01-08,28.9,166048,12305,1173,168637,0.781,3.32,1.0,0.08116930044324533,5745.60553633218,136285.0,0.09166027595201949,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 9,2026-01-13,27.8,139428,8632,956,168637,0.781,3.32,5.0,0.06876667527325932,5015.395683453237,148582.33333333334,0.08095203629576515,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 10,2026-01-17,23.0,154625,9358,1782,168637,0.781,3.32,4.0,0.07204527081649151,6722.826086956522,153367.0,0.07399374884433206,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 11,2026-01-25,23.4,72758,7650,632,168637,0.781,3.32,8.0,0.11382940707551059,3109.3162393162397,122270.33333333333,0.08488045105508714,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 12,2026-01-31,26.9,111074,10736,1368,168637,0.781,3.32,6.0,0.1089723967805247,4129.14498141264,112819.0,0.0982823582241756,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 13,2026-02-02,22.2,166036,13987,1496,168637,0.781,3.32,2.0,0.09325086125900407,7479.0990990990995,116622.66666666667,0.10535088837167979,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 14,2026-02-03,24.7,178725,11152,1687,168637,0.781,3.32,1.0,0.07183662050636452,7235.829959514171,151945.0,0.0913532928486311,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 15,2026-02-05,25.7,79617,4997,562,168637,0.781,3.32,2.0,0.06982177173216775,3097.9377431906614,141459.33333333334,0.07830308449917879,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 16,2026-02-11,24.3,149281,13943,1495,168637,0.781,3.32,6.0,0.10341570595052284,6143.251028806584,135874.33333333334,0.08169136606301837,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 17,2026-02-15,25.2,112146,11146,868,168637,0.781,3.32,4.0,0.10712820787188129,4450.238095238095,113681.33333333333,0.09345522851819062,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 18,2026-02-17,27.8,198141,11406,2469,168637,0.781,3.32,2.0,0.07002589065362545,7127.374100719424,153189.33333333334,0.09352326815867652,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 19,2026-02-20,26.9,275455,22729,2839,168637,0.781,3.32,3.0,0.09282096894229548,10239.962825278812,195247.33333333334,0.08999168915593407,0.2937880253336255,High consistency
DataNook,education,DataNook Episode 20,2026-02-25,25.8,165355,13091,1702,168637,0.781,3.32,5.0,0.08946206646306432,6409.1085271317825,212983.66666666666,0.08410297535299509,0.2937880253336255,High consistency
